Job Class,Percentage, Resource
Management,6.1,https://www.indeed.com/career-advice/finding-a-job/getting-into-management
Business and Financial operations,5,https://aafa.com/blog/how-to-begin-a-career-in-finance
Computer and Mathematical,2.7,https://techguide.org/computer-science/computer-science-resources/how-to-get-into-computer-science/
Architecture and Engineering,1.7,https://youngarchitect.com/becoming-an-architect/
"Life, Physical and Social Science",0.9,https://www.indeed.com/career-advice/finding-a-job/how-to-become-social-scientist
Community and Social Service,1.6,https://www.pacificu.edu/admissions/blog/become-a-social-worker
Legal,0.8,https://www.usnews.com/education/best-graduate-schools/top-law-schools/articles/how-to-become-a-lawyer-a-step-by-step-guide
"Education, training and library",6.1,https://www.alleducationschools.com/teaching-careers/
"Arts, design, entertainment, sports and media",1.7,https://www.skillshare.com/en/blog/how-to-become-an-artist-advice-from-actual-artists/
Healthcare practioners and technical,5.5,https://topworkplaces.com/how-to-get-job-in-healthcare/
Healthcare support,2.8,https://www.allnursingschools.com/how-to-become-a-nurse/
Protective service,2.3,https://www.indeed.com/career-advice/finding-a-job/how-to-become-a-cps-worker
Food preparation and serving,8.3,https://www.indeed.com/career-advice/finding-a-job/starting-a-food-business
Building and grounds cleaning and maintenance,3.7, https://www.bls.gov/ooh/building-and-grounds-cleaning/home.htm 
Personal care and service,4, https://www.careeronestop.org/ 
Sales,10.2, https://www.indeed.com/career-advice/finding-a-job/no-experience-sales-jobs 
Office and administrative support,15.1, https://www.bls.gov/ooh/office-and-administrative-support/home.htm 
"Farming, fishing and forestry",0.6, https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm 
Construction and extraction,4.3, https://www.bls.gov/ooh/ construction-and-extraction/home.htm 
"Installation, maintenance and repair",3.8, https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm 
Production,6.1, https://www.backstage.com/magazine/article/crew-101-first-production-job-70414/
Transportation and material moving,6.5, https://powerfulgeography.org/k-12-education/resources/geography-in-jobs-and-careers-pages/transportation-and-material-moving-job-summaries/ 
Total,99.8